,answer_recall,answer_precision,retrieval_recall,retrieval_precision,total_tokens
0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.038461538461538464,14710
1,0.5,0.42857142857142855,0.6666666666666666,0.25,18014
2,0.875,0.7142857142857143,0.1,0.16666666666666666,21579
3,0.6,1.0,0.8,0.5,24348
4,0.875,0.6666666666666666,1.0,0.35714285714285715,33107
5,0.0,0.0,0.0,0.0,36028
6,1.0,0.375,0.6666666666666666,0.3333333333333333,38994
7,1.0,0.5,1.0,0.25,44718
8,1.0,0.0,1.0,0.2,50108
9,0.125,0.16666666666666666,0.375,0.23076923076923078,56133
10,0.0,0.0,0.0,0.0,59270
11,0.0,0.0,0.3333333333333333,0.05263157894736842,70030
12,0.6,0.0,1.0,0.3,75277
13,0.5,0.1,0.5,0.2,77802
14,0.8333333333333334,0.4375,0.5,0.3333333333333333,81028
15,0.7142857142857143,0.6666666666666666,0.5714285714285714,0.5,84045
16,0.0,0.0,0.0,0.0,87363
17,0.4,0.2857142857142857,0.0,0.0,93813
18,0.2222222222222222,0.36363636363636365,0.1111111111111111,0.1,97672
19,0.4,0.6666666666666666,0.0,0.0,100729
20,0.5,0.0,0.0,0.0,103654
21,0.8,1.0,0.75,0.16666666666666666,106601
22,1.0,0.4,1.0,0.125,109922
23,1.0,0.4,0.25,0.2,112492
24,0.6,0.25,0.2,0.06666666666666667,122784
25,0.75,0.0,0.5,0.2,125418
26,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.2727272727272727,131226
27,0.5,1.0,0.0,0.0,133860
28,0.0,0.0,0.5,0.08333333333333333,139931
29,1.0,0.3333333333333333,1.0,0.4166666666666667,148682
30,1.0,0.5,1.0,0.2,151268
31,1.0,0.6666666666666666,0.0,0.0,153794
32,1.0,0.5,1.0,0.2,156329
33,1.0,0.0,1.0,0.2,158582
34,1.0,1.0,1.0,0.3333333333333333,160680
35,1.0,1.0,1.0,0.3333333333333333,162745
36,1.0,0.5,1.0,0.2,165023
37,1.0,0.4444444444444444,0.0,0.0,167783
38,1.0,0.0,0.0,0.3333333333333333,169902
39,0.5,0.4,1.0,0.4,172619
