answer_recall,answer_precision,retrieval_recall,retrieval_precision,total_tokens,name_0,name_1,name_2,name_3,name_4,query_0,query_1,query_2,query_3,query_4,top_k_0,top_k_1,top_k_2,top_k_3,top_k_4
0.8333333333333334,1.0,1.0,0.25,4723,execute_agentic_rag,,,,,Restaurants mit Risotto auf der Speisekarte und deren Risotto-Preise,,,,,8,,,,
0.8888888888888888,0.45454545454545453,0.375,0.16666666666666666,4875,execute_agentic_rag,,,,,Struktur klassisches französisches Menü und Rolle des Weins im Vergleich zu italienischem Menü,,,,,6,,,,
0.6,1.0,0.8571428571428571,0.18181818181818182,3382,execute_agentic_rag,,,,,UNESCO-Auszeichnungen für französische Esskultur und mexikanische Küche mit Jahr,,,,,6,,,,
0.0,0.0,0.0,0.0,3927,execute_agentic_rag,,,,,Prosecco Il sogno de Anton und französischer Rotwein Preise Vergleich,,,,,5,,,,
1.0,1.0,0.8333333333333334,0.2222222222222222,3463,execute_agentic_rag,,,,,Tönis Tacos Taco-Varianten und Grundelement laut Beschreibung mexikanische Küche,,,,,6,,,,
0.0,0.0,0.0,0.0,3813,execute_agentic_rag,,,,,Anton’s Pizza und Chez Anton Cappuccino Preis und Verfügbarkeit,,,,,6,,,,
0.0,0.125,0.3333333333333333,0.08333333333333333,3986,execute_agentic_rag,,,,,"Mineralwasser Preise und Gebinde Anton's Pizza, Chez Anton, Il sogno de Anton",,,,,6,,,,
0.3333333333333333,0.5,0.3333333333333333,0.0625,4666,execute_agentic_rag,,,,,Kaffeevarianten auf Restaurantkarten und deren Preise,,,,,8,,,,
0.3333333333333333,0.4,0.0,0.0,4192,execute_agentic_rag,,,,,traditionelle französische Gemüsespeise im Länderdokument und auf Menükarte mit Preis,,,,,8,,,,
0.5,0.6666666666666666,0.0,0.0,3623,execute_agentic_rag,,,,,Panna Cotta italienisches Küchenporträt und Il sogno de Anton Speisekarte Preis,,,,,6,,,,
1.0,0.75,0.8,0.1,3824,execute_agentic_rag,,,,,"Anton's Pizza Auswahl, Pizza-Variante, die Einfachheit und Herkunft verdeutlicht, Küchenporträt",,,,,5,,,,
0.8333333333333334,0.5,0.8,0.05405405405405406,18049,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,,Chez Anton Suppen und das italienische 'Arme-Leute'-Suppenprinzip,Suppen bei Chez Anton Menü zur Resteverwertung oder mit einfachen Zutaten,"Soupe du Terrier bei Chez Anton: Zutaten, Zubereitungsart, Bezug zu italienischer Brotsuppe oder Minestrone",,,8,5.0,4.0,,
0.75,0.75,0.5,0.1,7487,execute_agentic_rag,execute_agentic_rag,,,,Italienische Vorspeisen Käseprodukt zentral,italienisches Küchenporträt wichtigste Käse Parmigiano Reggiano Mozzarella,,,,5,3.0,,,
1.0,0.25,1.0,0.20833333333333334,8842,execute_agentic_rag,execute_agentic_rag,,,,Risotto Charakteristik als norditalienische Spezialität,Menü mit Risotto-Gerichten und Preisen norditalienisches Restaurant,,,,5,7.0,,,
1.0,0.7142857142857143,1.0,0.09090909090909091,3510,execute_agentic_rag,,,,,Heilige Fünf der mexikanischen Küche,,,,,5,,,,
1.0,0.0,1.0,0.0,3430,execute_agentic_rag,,,,,UNESCO Weltkulturerbe Gastronomisches Mahl der Franzosen seit wann,,,,,5,,,,
0.5,0.5,1.0,0.2,3680,execute_agentic_rag,,,,,"Tönis Tacos Speisekarte mit Preisen, zwei Gerichte nennen",,,,,6,,,,
