,answer_recall,answer_precision,retrieval_recall,retrieval_precision
0,1.0,0.7647058823529411,0.625,0.2
1,1.0,0.3076923076923077,0.5,0.2
2,0.7142857142857143,1.0,1.0,0.3
3,0.0,0.125,0.0,0.0
4,1.0,0.45454545454545453,0.8333333333333334,0.2
5,1.0,1.0,0.75,0.1
6,0.0,0.1111111111111111,0.3333333333333333,0.1
7,0.0,0.25,0.0,0.1
8,0.3333333333333333,0.75,0.0,0.0
9,1.0,0.8333333333333334,1.0,0.3
10,1.0,0.8571428571428571,0.8,0.1
11,0.8,1.0,0.4,0.1
12,0.6666666666666666,0.6,0.5,0.1
13,1.0,0.2777777777777778,0.6,0.2
14,1.0,0.3333333333333333,1.0,0.1
15,1.0,0.0,1.0,0.0
16,0.5,0.25,1.0,0.2
